topic,mean_score,median_score,n_docs
0,0.2783,0.0,812
8,-1.5012,-2.0,411
9,0.6312,0.0,404
11,0.7774,1.0,337
12,0.8567,1.0,321
15,0.2561,0.0,246
18,0.7563,1.0,238
19,-0.299,0.0,204
22,-0.4358,-1.5,218
25,-1.1095,-2.0,210
26,-1.0305,-1.0,197
27,-0.7458,0.0,177
29,-1.6287,-2.0,167
33,0.1012,0.0,168
34,-0.9521,-2.0,167
35,-0.0128,0.0,156
37,0.039,0.0,154
41,0.0148,0.0,135
44,-1.5,-2.0,126
48,0.0885,0.0,113
53,-0.5204,0.0,98
57,-1.1856,-2.0,97
59,-0.3404,0.0,94
60,-1.4731,-2.0,93
62,-0.3418,0.0,79
65,0.0787,0.0,89
66,-0.1744,0.0,86
68,-0.4483,0.0,87
74,-1.0988,-2.0,81
79,0.4605,0.0,76
84,-0.2603,0.0,73
90,-0.1493,0.0,67
91,-0.4839,0.0,62
108,-1.0536,-2.0,56
113,0.2941,0.0,51
127,-0.1224,0.0,49
135,-0.5106,-2.0,47
138,0.7391,1.0,46
141,-0.5435,0.0,46
143,-0.7955,-1.0,44
153,0.75,1.0,40
155,-1.45,-2.0,40
160,0.5,0.0,38
175,-1.0833,-2.0,36
181,0.0,0.0,35
184,0.0857,0.0,35
186,-0.1765,0.0,34
198,-0.4062,0.0,32
205,0.1379,0.0,29
209,0.5333,0.0,30
244,1.3333,2.0,24
251,0.4167,1.0,24
260,0.9565,1.0,23
262,0.9565,1.0,23
291,-0.2,0.0,20
297,-1.2632,-2.0,19
303,0.1579,0.0,19
321,0.2778,0.0,18
323,0.2353,0.0,17
325,1.2353,2.0,17
337,0.0625,0.0,16
361,0.0,0.0,15
385,-1.5385,-2.0,13
392,1.0,1.0,13
413,0.8333,1.0,12
445,0.0,0.0,11
468,0.6,0.0,10
499,-1.2222,-2.0,9
513,-0.3333,-1.0,3
518,-1.0,-2.0,8
527,1.5,1.5,8
